City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
286,Lishui,CN,28.4604,119.9103,46.6,84,0,2.44,clear sky
287,Swellendam,ZA,-34.0226,20.4417,64.54,77,20,4.47,few clouds
288,Firovo,RU,57.4814,33.7021,-10.7,92,28,4.21,scattered clouds
289,Padang,ID,-0.9492,100.3543,73.45,85,99,2.66,light rain
290,Bay Roberts,CA,47.5999,-53.2648,31.33,83,99,1.01,overcast clouds
291,Taksimo,RU,56.3444,114.8794,-3.59,98,100,1.19,overcast clouds
292,Marsabit,KE,2.3284,37.9899,68.23,54,6,7.49,clear sky
293,Dutlwe,BW,-23.9833,23.9,68.72,68,57,15.26,broken clouds
294,Kishi,NG,9.0833,3.85,75.99,20,58,4.76,broken clouds
295,Caravelas,BR,-17.7125,-39.2481,75.09,94,91,4.59,overcast clouds
296,Yeppoon,AU,-23.1333,150.7333,80.38,67,77,9.37,broken clouds
297,Ahipara,NZ,-35.1667,173.1667,74.82,67,5,5.97,clear sky
298,Cedar Lake,US,41.3648,-87.4411,32.22,79,7,6.2,clear sky
299,Mahebourg,MU,-20.4081,57.7,77.29,83,40,4.61,light rain
300,Pisco,PE,-13.7,-76.2167,73.45,78,0,13.8,clear sky
301,Mantua,IT,45.1667,10.7833,47.44,91,100,1.01,overcast clouds
302,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,4.61,light rain
303,Ciudad Ojeda,VE,10.1964,-71.3082,78.69,80,8,8.1,clear sky
304,Valley City,US,46.9233,-98.0032,7.32,100,0,13.8,clear sky
305,Sao Filipe,CV,14.8961,-24.4956,72.77,68,6,15.68,clear sky
306,Hithadhoo,MV,-0.6,73.0833,79.81,80,77,10.09,broken clouds
307,Henties Bay,NA,-22.116,14.2845,63.93,79,15,6.44,few clouds
308,Humboldt,US,40.6665,-123.9178,48.74,95,100,10.09,moderate rain
309,Kichera,RU,55.9375,110.0997,-6.27,92,80,3.22,broken clouds
310,Anadyr,RU,64.75,177.4833,0.1,78,100,13.42,overcast clouds
311,Kirovsk,UA,48.6375,38.6428,9.82,60,0,6.2,clear sky
312,Necochea,AR,-38.5473,-58.7368,75.69,50,96,21.94,overcast clouds
313,Galbshtadt,RU,53.2264,78.9845,22.28,88,100,14.88,overcast clouds
314,Lodja,CD,-3.4833,23.4333,69.24,99,100,1.52,light rain
315,Wenling,CN,28.3669,121.36,50.58,59,0,3.62,clear sky
